Accession	Start	Stop	Tool
NZ_LT904887.1	947704	948125	CRISPRDetect
NC_002570.2	339740	340774	CRISPRDetect
NC_002570.2	345991	347089	CRISPRDetect
NC_002570.2	355361	356330	CRISPRDetect
NC_002570.2	366106	368459	CRISPRDetect
NC_002570.2	378211	378914	CRISPRDetect
NZ_CP011541.1	457187	457522	CRISPRDetect
NZ_CP007689.1	1415744	1416225	CRISPRDetect
NZ_CP012147.1	34163	37611	CRISPRDetect
NZ_CP012147.1	38196	40116	CRISPRDetect
NZ_CP012147.1	41578	43500	CRISPRDetect
NZ_CP012152.1	724013	724310	CRISPRDetect
NZ_CP012152.1	1992530	1995073	CRISPRDetect
NZ_LT904883.1	4014530	4014926	CRISPRDetect
NZ_CP012069.2	258963	260340	CRISPRDetect
NZ_CP012069.2	1478568	1479626	CRISPRDetect
NZ_CP012069.2	1955102	1955811	CRISPRDetect
NZ_CP012069.2	1961131	1963789	CRISPRDetect
NZ_CP012071.1	100248	100575	CRISPRDetect
NZ_CP012071.1	100897	101868	CRISPRDetect
NZ_CP012071.1	104323	104930	CRISPRDetect
NZ_CP012071.1	105256	105652	CRISPRDetect
NZ_CP012071.1	1062841	1063238	CRISPRDetect
NZ_CP012071.1	1072113	1072859	CRISPRDetect
NZ_CP012071.1	1978676	1984650	CRISPRDetect
NZ_CP011326.1	936590	937089	CRISPRDetect
NZ_CP011112.1	719053	720737	CRISPRDetect
NZ_CP012073.1	1162282	1166146	CRISPRDetect
NC_007426.1	165989	166217	CRISPRDetect
NC_007426.1	1578925	1579541	CRISPRDetect
NZ_CP012266.1	1116363	1117368	CRISPRDetect
NZ_CP012266.1	1143819	1145112	CRISPRDetect
NZ_CP011416.1	1067815	1068088	CRISPRDetect
NZ_CP011416.1	1093787	1094792	CRISPRDetect
NZ_AP012330.1	1624514	1626559	CRISPRDetect
NZ_CP012589.1	1486603	1489993	CRISPRDetect
NZ_CP011329.1	921391	922483	CRISPRDetect
NZ_CP012072.1	1116397	1119038	CRISPRDetect
NZ_CP012072.1	1978115	1981993	CRISPRDetect
NZ_CP010413.1	430395	430838	CRISPRDetect
NZ_CP012675.1	2379748	2380022	CRISPRDetect
NZ_CP012675.1	2388927	2389566	CRISPRDetect
NZ_CP010453.1	1923313	1925468	CRISPRDetect
NZ_CP012753.1	554714	555292	CRISPRDetect
NZ_CP012753.1	565245	566012	CRISPRDetect
NZ_CP011528.1	2252423	2252618	CRISPRDetect
NC_017134.1	123168	124600	CRISPRDetect
NZ_CP009557.1	1711153	1712638	CRISPRDetect
NZ_CP012103.1	6956	7384	CRISPRDetect
NZ_CP014754.1	3531232	3534048	CRISPRDetect
NZ_CP013049.1	5119191	5119648	CRISPRDetect
NC_017482.1	2260327	2261881	CRISPRDetect
NZ_CP006841.1	40062	40930	CRISPRDetect
NZ_CP011455.1	2145786	2145967	CRISPRDetect
NZ_CP011455.1	3061374	3061628	CRISPRDetect
NZ_CP011455.1	3062113	3062296	CRISPRDetect
NZ_CP011455.1	3062405	3062733	CRISPRDetect
NZ_CP011455.1	3064126	3064757	CRISPRDetect
NZ_CP011455.1	3065905	3066308	CRISPRDetect
NZ_CP012395.1	1489404	1490823	CRISPRDetect
NZ_CP012395.1	1499998	1502802	CRISPRDetect
NZ_CP012395.1	1504570	1506777	CRISPRDetect
NZ_CP011325.1	942380	942945	CRISPRDetect
NZ_CP013046.2	555012	555219	CRISPRDetect
NZ_CP013112.1	2458768	2459346	CRISPRDetect
NZ_CP013112.1	2481730	2482247	CRISPRDetect
NZ_CP011799.1	7225285	7225619	CRISPRDetect
NZ_CP011799.1	7240617	7241441	CRISPRDetect
NZ_CP011799.1	7243065	7243563	CRISPRDetect
NZ_CP011931.1	1309476	1310478	CRISPRDetect
NZ_CP011931.1	3221798	3222594	CRISPRDetect
NZ_CP012631.1	3224349	3224738	CRISPRDetect
NZ_CP012631.1	3233796	3234306	CRISPRDetect
NC_006814.3	1541039	1543019	CRISPRDetect
NZ_LT904854.1	947370	947791	CRISPRDetect
NZ_CP011786.1	1653874	1658786	CRISPRDetect
NZ_CP013690.1	3841825	3846204	CRISPRDetect
NZ_CP013690.1	3847596	3848813	CRISPRDetect
NZ_CP012947.1	4234191	4239789	CRISPRDetect
NZ_CM003382.1	519536	520281	CRISPRDetect
NZ_CM003382.1	536550	538077	CRISPRDetect
NZ_CP012398.1	587493	588062	CRISPRDetect
NZ_CP012398.1	3125776	3127233	CRISPRDetect
NC_002976.3	2517621	2517868	CRISPRDetect
NZ_CP012599.1	2960963	2962149	CRISPRDetect
NZ_CP012599.1	2978818	2980434	CRISPRDetect
NZ_CP012599.1	3659273	3659841	CRISPRDetect
NZ_CP012869.1	1737249	1737644	CRISPRDetect
NZ_CP012869.1	1763193	1763956	CRISPRDetect
NZ_LN831026.1	40828	41248	CRISPRDetect
NZ_CP012159.1	3520205	3521882	CRISPRDetect
NZ_CP012159.1	4524009	4524862	CRISPRDetect
NZ_CP012159.1	7095638	7099261	CRISPRDetect
NZ_CP012159.1	7109204	7114399	CRISPRDetect
NZ_CP012159.1	7819768	7820447	CRISPRDetect
NZ_CP012159.1	8802990	8803834	CRISPRDetect
NZ_CP009312.1	1010204	1011453	CRISPRDetect
NC_006448.1	629901	632114	CRISPRDetect
NC_006448.1	863999	864324	CRISPRDetect
NZ_LT904882.1	948037	948250	CRISPRDetect
NZ_LT904877.1	1126875	1127297	CRISPRDetect
NZ_CP012598.1	3270966	3272581	CRISPRDetect
NZ_CP012598.1	3289248	3290433	CRISPRDetect
NZ_LN877293.1	929427	929573	CRISPRDetect
NZ_LN877293.1	4643208	4644099	CRISPRDetect
NZ_CP012868.1	1737249	1737644	CRISPRDetect
NZ_CP012868.1	1763193	1763956	CRISPRDetect
NZ_CP013056.1	24043	24730	CRISPRDetect
NZ_CP011522.1	2060737	2061807	CRISPRDetect
NZ_CP011522.1	2071704	2073079	CRISPRDetect
NZ_CP011522.1	3648313	3649051	CRISPRDetect
NZ_CP011522.1	3813333	3814215	CRISPRDetect
NZ_CP011522.1	3973317	3973711	CRISPRDetect
NZ_CP011522.1	5072301	5072633	CRISPRDetect
NZ_CP011522.1	5858981	5859192	CRISPRDetect
NZ_LN890520.1	3220369	3222412	CRISPRDetect
NZ_LN890520.1	3238919	3240779	CRISPRDetect
NZ_CP013226.1	10857	11425	CRISPRDetect
NZ_CP013226.1	4110640	4112254	CRISPRDetect
NZ_CP008870.2	1697192	1697941	CRISPRDetect
NZ_CP008870.2	3229320	3229888	CRISPRDetect
NZ_CP008870.2	3238753	3239920	CRISPRDetect
NZ_AP014944.1	66853	68031	CRISPRDetect
NZ_AP014944.1	76758	77009	CRISPRDetect
NZ_AP014944.1	1549103	1550062	CRISPRDetect
NC_014160.1	772206	777925	CRISPRDetect
NZ_CP014326.1	575531	575761	CRISPRDetect
NZ_CP011516.1	911911	912793	CRISPRDetect
NZ_CP011516.1	1844126	1845011	CRISPRDetect
NZ_CP016270.1	2455301	2455866	CRISPRDetect
NZ_CP011523.1	47711	49418	CRISPRDetect
NZ_CP011523.1	59102	60379	CRISPRDetect
NZ_CP011523.1	61305	61517	CRISPRDetect
NZ_CP014159.1	1317504	1318451	CRISPRDetect
NZ_CP009240.1	1557186	1560794	CRISPRDetect
NZ_CP012946.1	1769399	1770633	CRISPRDetect
NZ_CP012946.1	2294723	2296181	CRISPRDetect
NZ_CP012946.1	2460356	2463756	CRISPRDetect
NZ_LN907867.1	1169371	1170605	CRISPRDetect
NZ_LN907867.1	1694694	1696152	CRISPRDetect
NZ_LN907867.1	1860326	1863726	CRISPRDetect
NZ_CP014163.1	1754503	1754976	CRISPRDetect
NZ_CP014163.1	1788934	1790486	CRISPRDetect
NZ_CP014635.1	2200159	2202017	CRISPRDetect
NC_003912.7	1594103	1594337	CRISPRDetect
NZ_CP014140.1	1684803	1684964	CRISPRDetect
NZ_CP014140.1	1750499	1751851	CRISPRDetect
NZ_CP014140.1	3202203	3202893	CRISPRDetect
NZ_CP014140.1	3215204	3218531	CRISPRDetect
NZ_CP013140.1	1800255	1800497	CRISPRDetect
NZ_LN885086.1	993770	1002141	CRISPRDetect
NZ_LN885086.1	2456753	2460282	CRISPRDetect
NZ_LN885086.1	2530668	2532864	CRISPRDetect
NZ_AP014627.1	2445179	2445335	CRISPRDetect
NC_007432.1	986377	987337	CRISPRDetect
NC_000909.1	378	2127	CRISPRDetect
NC_000909.1	92300	92532	CRISPRDetect
NC_000909.1	132922	134002	CRISPRDetect
NC_000909.1	236564	238185	CRISPRDetect
NC_000909.1	351694	352469	CRISPRDetect
NC_000909.1	428572	429573	CRISPRDetect
NC_000909.1	501491	501991	CRISPRDetect
NC_000909.1	507264	508048	CRISPRDetect
NC_000909.1	1034820	1035687	CRISPRDetect
NC_000909.1	1049373	1050237	CRISPRDetect
NC_000909.1	1219844	1220166	CRISPRDetect
NC_000909.1	1267046	1267755	CRISPRDetect
NC_000909.1	1456867	1457337	CRISPRDetect
NC_000909.1	1570374	1570895	CRISPRDetect
NC_000909.1	1575519	1576383	CRISPRDetect
NZ_CP030288.1	1023585	1025016	CRISPRDetect
NZ_CP030288.1	1032868	1034362	CRISPRDetect
NZ_CP013489.1	781962	785716	CRISPRDetect
NZ_LT905139.1	947891	948312	CRISPRDetect
NZ_LN877770.1	3701414	3702177	CRISPRDetect
NZ_LN877770.1	3727726	3728121	CRISPRDetect
NZ_CP013612.1	1081540	1083079	CRISPRDetect
NZ_CP013612.1	1091828	1092977	CRISPRDetect
NZ_CP014657.1	970551	972165	CRISPRDetect
NZ_CP014657.1	988479	988997	CRISPRDetect
NZ_CP015235.1	4986204	4986396	CRISPRDetect
NZ_CP015726.1	9123102	9123915	CRISPRDetect
NZ_CP015726.1	9132407	9133875	CRISPRDetect
NZ_CP026328.2	1189024	1190311	CRISPRDetect
NZ_CP026328.2	1191370	1192432	CRISPRDetect
NZ_CP012590.1	17994	18459	CRISPRDetect
NZ_CP012590.1	306787	306974	CRISPRDetect
NZ_CP012590.1	410012	410338	CRISPRDetect
NZ_CP012590.1	667519	670723	CRISPRDetect
NZ_CP012590.1	672259	673024	CRISPRDetect
NZ_CP012590.1	690924	691627	CRISPRDetect
NZ_CP012590.1	693111	704381	CRISPRDetect
NZ_CP012590.1	865307	866357	CRISPRDetect
NZ_CP012590.1	1024501	1024907	CRISPRDetect
NZ_CP012590.1	1208301	1209000	CRISPRDetect
NZ_CP012590.1	1224807	1224992	CRISPRDetect
NZ_CP012590.1	1274981	1275163	CRISPRDetect
NZ_CP012590.1	1398355	1398972	CRISPRDetect
NZ_CP012590.1	1512735	1512993	CRISPRDetect
NZ_CP012590.1	1951315	1951721	CRISPRDetect
NZ_CP012590.1	2008613	2009084	CRISPRDetect
NZ_CP012590.1	2277582	2278270	CRISPRDetect
NZ_CP012590.1	2642826	2643519	CRISPRDetect
NZ_CP012590.1	2739180	2739428	CRISPRDetect
NZ_CP012590.1	2868159	2869070	CRISPRDetect
NZ_CP012590.1	2876530	2877147	CRISPRDetect
NZ_CP012590.1	3024780	3025037	CRISPRDetect
NZ_CP012590.1	3556909	3557243	CRISPRDetect
NZ_CP013652.1	696977	698006	CRISPRDetect
NZ_CP013653.1	1693794	1694704	CRISPRDetect
NZ_CP013653.1	1699661	1700584	CRISPRDetect
NZ_CP013653.1	1708900	1709873	CRISPRDetect
NZ_CP013653.1	1719288	1719786	CRISPRDetect
NZ_CP013653.1	1728861	1729095	CRISPRDetect
NZ_CP013653.1	5242956	5244097	CRISPRDetect
NC_007406.1	2121506	2122661	CRISPRDetect
NZ_CP016277.1	1819801	1820807	CRISPRDetect
NZ_CP016277.1	2377783	2379595	CRISPRDetect
NZ_CP016652.1	493116	493350	CRISPRDetect
NZ_CP016652.1	493550	493784	CRISPRDetect
NZ_CP016757.1	465842	468053	CRISPRDetect
NZ_CP016757.1	1337992	1339640	CRISPRDetect
NZ_CP016757.1	2417862	2418095	CRISPRDetect
NZ_CP016757.1	3112427	3112852	CRISPRDetect
NZ_CP049045.1	1196774	1197043	CRISPRDetect
NZ_CP008864.2	2074940	2075388	CRISPRDetect
NZ_CP008856.2	1512098	1513268	CRISPRDetect
NZ_CP008856.2	2845847	2846902	CRISPRDetect
NZ_CP008856.2	2855425	2857195	CRISPRDetect
NZ_CP014225.1	1074901	1075664	CRISPRDetect
NZ_CP014225.1	1101213	1101608	CRISPRDetect
NZ_CP014268.2	3450806	3451079	CRISPRDetect
NZ_CP014268.2	3469312	3470135	CRISPRDetect
NZ_CP013990.1	3585421	3587373	CRISPRDetect
NC_007519.1	885036	886224	CRISPRDetect
NZ_CP014023.2	1368549	1368688	CRISPRDetect
NC_010080.1	1587579	1589021	CRISPRDetect
NZ_CP012664.1	36956	38692	CRISPRDetect
NZ_LN831024.1	1484173	1484981	CRISPRDetect
NZ_LN831024.1	2773438	2774486	CRISPRDetect
NZ_LN831024.1	2783010	2783938	CRISPRDetect
NZ_CP014234.1	1096544	1102036	CRISPRDetect
NZ_CP014234.1	1124084	1134681	CRISPRDetect
NZ_CP013237.1	292186	292487	CRISPRDetect
NZ_CP013015.1	1034608	1034801	CRISPRDetect
NZ_CP013015.1	1048295	1048552	CRISPRDetect
NZ_CP013015.1	1072795	1074326	CRISPRDetect
NZ_CP013015.1	1582463	1585557	CRISPRDetect
NC_014122.1	109860	110090	CRISPRDetect
NC_014122.1	235757	236384	CRISPRDetect
NC_014122.1	245939	247617	CRISPRDetect
NC_014122.1	531383	532159	CRISPRDetect
NC_014122.1	604543	605765	CRISPRDetect
NC_014122.1	715926	716369	CRISPRDetect
NC_014122.1	767940	768495	CRISPRDetect
NC_014122.1	826017	826803	CRISPRDetect
NC_014122.1	834710	835082	CRISPRDetect
NC_014122.1	885289	886550	CRISPRDetect
NC_014122.1	1082729	1083208	CRISPRDetect
NC_014122.1	1111056	1111999	CRISPRDetect
NC_014122.1	1119925	1120905	CRISPRDetect
NC_014122.1	1295745	1295975	CRISPRDetect
NZ_CP012149.1	1431621	1431855	CRISPRDetect
NZ_CP014261.1	524160	524836	CRISPRDetect
NZ_CP014261.1	2599238	2601190	CRISPRDetect
NZ_CP013147.1	3001893	3002895	CRISPRDetect
NZ_CP013147.1	3212174	3213003	CRISPRDetect
NZ_CP013147.1	3213230	3213474	CRISPRDetect
NZ_CP013147.1	3213710	3213962	CRISPRDetect
NZ_CP008860.2	1543749	1544557	CRISPRDetect
NZ_CP008860.2	2882641	2883029	CRISPRDetect
NZ_CP008860.2	2891553	2893384	CRISPRDetect
NZ_CP014233.1	1508682	1508980	CRISPRDetect
NZ_CP014644.1	40164	40461	CRISPRDetect
NZ_CP012939.1	2010416	2011359	CRISPRDetect
NZ_CP012939.1	2020284	2021107	CRISPRDetect
NZ_CP014994.1	1015565	1016874	CRISPRDetect
NZ_CP014994.1	1033497	1036395	CRISPRDetect
NC_007503.1	1926257	1930136	CRISPRDetect
NC_007503.1	1944006	1949573	CRISPRDetect
NZ_CP013621.1	1857153	1857297	CRISPRDetect
NZ_CP013919.1	539208	539818	CRISPRDetect
NZ_CP013860.1	738051	740992	CRISPRDetect
NZ_CP010330.1	3128196	3129480	CRISPRDetect
NZ_CP010330.1	3130873	3132588	CRISPRDetect
NZ_AP014815.1	880117	880276	CRISPRDetect
NZ_AP014815.1	1387979	1390025	CRISPRDetect
NZ_AP014815.1	1400605	1402284	CRISPRDetect
NZ_AP014815.1	2111973	2118064	CRISPRDetect
NZ_AP014815.1	2553978	2554601	CRISPRDetect
NZ_AP014938.1	108839	109379	CRISPRDetect
NZ_AP014938.1	111858	112830	CRISPRDetect
NZ_AP014938.1	114533	117961	CRISPRDetect
NZ_AP014945.1	731389	732297	CRISPRDetect
NZ_AP014945.1	1054382	1054863	CRISPRDetect
NZ_AP014950.1	1032023	1032723	CRISPRDetect
NZ_AP014951.1	4026619	4026892	CRISPRDetect
NZ_CP014232.1	625014	625413	CRISPRDetect
